"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1968-1-ND","NLC453232T-101K-PF","TDK Corporation","INDUCTOR WW PWR 100UH 180MA 10%",16253,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","100µH","±10%","180mA","-","Unshielded","4 Ohm Max","20 @ 796kHz","8MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1950-1-ND","NLC453232T-3R3K-PF","TDK Corporation","INDUCTOR WW PWR 3.3UH 750MA 10%",29265,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","3.3µH","±10%","750mA","-","Unshielded","220 mOhm Max","10 @ 7.96MHz","45MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1952-1-ND","NLC453232T-4R7K-PF","TDK Corporation","INDUCTOR WW PWR 4.7UH 650MA 10%",27245,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","4.7µH","±10%","650mA","-","Unshielded","270 mOhm Max","10 @ 7.96MHz","35MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1944-1-ND","NLC453232T-1R0K-PF","TDK Corporation","INDUCTOR WW PWR 1.0UH 1050MA 10%",18769,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","1µH","±10%","1.05A","-","Unshielded","110 mOhm Max","10 @ 7.96MHz","200MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1956-1-ND","NLC453232T-100K-PF","TDK Corporation","INDUCTOR WW PWR 10UH 550MA 10%",17612,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","10µH","±10%","550mA","-","Unshielded","500 mOhm Max","10 @ 2.52MHz","22MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1945-1-ND","NLC453232T-1R2K-PF","TDK Corporation","INDUCTOR WW PWR 1.2UH 1000MA 10%",11809,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","1.2µH","±10%","1A","-","Unshielded","120 mOhm Max","10 @ 7.96MHz","160MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1960-1-ND","NLC453232T-220K-PF","TDK Corporation","INDUCTOR WW PWR 22UH 370MA 10%",12105,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","22µH","±10%","370mA","-","Unshielded","900 mOhm Max","10 @ 2.52MHz","18MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1958-1-ND","NLC453232T-150K-PF","TDK Corporation","INDUCTOR WW PWR 15UH 450MA 10%",9814,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","15µH","±10%","450mA","-","Unshielded","700 mOhm Max","10 @ 2.52MHz","20MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/nl4532.pdf","http://media.digikey.com/photos/TDK%20Photos/NL453232T-102J-PF.JPG","445-6418-1-ND","NL453232T-1R0J-PF","TDK Corporation","INDUCTOR SHIELD 1.0UH 5% 1812",9973,0,"0.39000",0,1,"Cut Tape (CT)","NL","Wirewound","-","1µH","±5%","450mA","-","Unshielded","500 mOhm Max","50 @ 7.96MHz","100MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/nl4532.pdf","http://media.digikey.com/photos/TDK%20Photos/NL453232T-102J-PF.JPG","445-6411-1-ND","NL453232T-102J-PF","TDK Corporation","INDUCTOR SHIELD 1000UH 5% 1812",3914,0,"0.39000",0,1,"Cut Tape (CT)","NL","Wirewound","-","1mH","±5%","30mA","-","Unshielded","40 Ohm Max","30 @ 252kHz","2.5MHz","-40°C ~ 105°C","252kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/nl4532.pdf","http://media.digikey.com/photos/TDK%20Photos/NL453232T-102J-PF.JPG","445-6423-1-ND","NL453232T-221J-PF","TDK Corporation","INDUCTOR SHIELD 220UH 5% 1812",289,0,"0.39000",0,1,"Cut Tape (CT)","NL","Wirewound","-","220µH","±5%","100mA","-","Unshielded","10 Ohm Max","40 @ 796kHz","4MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/nl4532.pdf","http://media.digikey.com/photos/TDK%20Photos/NL453232T-102J-PF.JPG","445-6409-1-ND","NL453232T-100J-PF","TDK Corporation","INDUCTOR SHIELD 10UH 5% 1812",1586,0,"0.39000",0,1,"Cut Tape (CT)","NL","Wirewound","-","10µH","±5%","250mA","-","Unshielded","1.6 Ohm Max","50 @ 2.52MHz","20MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1959-1-ND","NLC453232T-180K-PF","TDK Corporation","INDUCTOR WW PWR 18UH 400MA 10%",24828,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","18µH","±10%","400mA","-","Unshielded","800 mOhm Max","10 @ 2.52MHz","19MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1949-1-ND","NLC453232T-2R7K-PF","TDK Corporation","INDUCTOR WW PWR 2.7UH 800MA 10%",14078,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","2.7µH","±10%","800mA","-","Unshielded","200 mOhm Max","10 @ 7.96MHz","60MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1948-1-ND","NLC453232T-2R2K-PF","TDK Corporation","INDUCTOR WW PWR 2.2UH 850MA 10%",11648,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","2.2µH","±10%","850mA","-","Unshielded","180 mOhm Max","10 @ 7.96MHz","80MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1962-1-ND","NLC453232T-330K-PF","TDK Corporation","INDUCTOR WW PWR 33UH 300MA 10%",12018,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","33µH","±10%","300mA","-","Unshielded","1.4 Ohm Max","10 @ 2.52MHz","14MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1970-1-ND","NLC453232T-151K-PF","TDK Corporation","INDUCTOR WW PWR 150UH 140MA 10%",9460,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","150µH","±10%","140mA","-","Unshielded","6.5 Ohm Max","20 @ 796kHz","7MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1972-1-ND","NLC453232T-221K-PF","TDK Corporation","INDUCTOR WW PWR 220UH 120MA 10%",7539,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","220µH","±10%","120mA","-","Unshielded","9 Ohm Max","20 @ 796kHz","5.5MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1951-1-ND","NLC453232T-3R9K-PF","TDK Corporation","INDUCTOR WW PWR 3.9UH 700MA 10%",4088,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","3.9µH","±10%","700mA","-","Unshielded","240 mOhm Max","10 @ 7.96MHz","40MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1966-1-ND","NLC453232T-680K-PF","TDK Corporation","INDUCTOR WW PWR 68UH 220MA 10%",4253,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","68µH","±10%","220mA","-","Unshielded","2.6 Ohm Max","10 @ 2.52MHz","10MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1967-1-ND","NLC453232T-820K-PF","TDK Corporation","INDUCTOR WW PWR 82UH 200MA 10%",4745,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","82µH","±10%","200mA","-","Unshielded","3.5 Ohm Max","10 @ 2.52MHz","9MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1974-1-ND","NLC453232T-331K-PF","TDK Corporation","INDUCTOR WW PWR 330UH 90MA 10%",4891,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","330µH","±10%","90mA","-","Unshielded","13 Ohm Max","20 @ 796kHz","4MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1955-1-ND","NLC453232T-8R2K-PF","TDK Corporation","INDUCTOR WW PWR 8.2UH 600MA 10%",3957,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","8.2µH","±10%","600mA","-","Unshielded","400 mOhm Max","10 @ 7.96MHz","25MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1953-1-ND","NLC453232T-5R6K-PF","TDK Corporation","INDUCTOR WW PWR 5.6UH 650MA 10%",2889,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","5.6µH","±10%","650mA","-","Unshielded","300 mOhm Max","10 @ 7.96MHz","30MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1954-1-ND","NLC453232T-6R8K-PF","TDK Corporation","INDUCTOR WW PWR 6.8UH 600MA 10%",2033,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","6.8µH","±10%","600mA","-","Unshielded","350 mOhm Max","10 @ 7.96MHz","28MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1947-1-ND","NLC453232T-1R8K-PF","TDK Corporation","INDUCTOR WW PWR 1.8UH 900MA 10%",1942,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","1.8µH","±10%","900mA","-","Unshielded","160 mOhm Max","10 @ 7.96MHz","100MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLC4532%20SERIES.jpg","445-1969-1-ND","NLC453232T-121K-PF","TDK Corporation","INDUCTOR WW PWR 120UH 160MA 10%",1920,0,"0.38000",0,1,"Cut Tape (CT)","NLC","-","-","120µH","±10%","160mA","-","Unshielded","4.5 Ohm Max","20 @ 796kHz","7.5MHz","-40°C ~ 105°C","796kHz","Surface Mount","1812 (4532 Metric)","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.134"" (3.40mm)","1812"
