"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3543-1-ND","NLC565050T-101K-PF","TDK Corporation","INDUCTOR POWER 100UH 250MA 2220",10294,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","100µH","±10%","250mA","-","Unshielded","1.6 Ohm Max","20 @ 796kHz","6MHz","-40°C ~ 105°C","796kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3544-1-ND","NLC565050T-121K-PF","TDK Corporation","INDUCTOR POWER 120UH 230MA 2220",6504,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","120µH","±10%","230mA","-","Unshielded","1.9 Ohm Max","20 @ 796kHz","5.4MHz","-40°C ~ 105°C","796kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3539-1-ND","NLC565050T-470K-PF","TDK Corporation","INDUCTOR POWER 47UH 340MA 2220",5805,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","47µH","±10%","340mA","-","Unshielded","850 mOhm Max","10 @ 2.52MHz","8.5MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/NL%20Series.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3660-1-ND","NL565050T-332J-PF","TDK Corporation","INDUCTOR 3.3MH 40MA 5% 2220",5776,0,"0.72000",0,1,"Cut Tape (CT)","NL","Wirewound","-","3.3mH","±5%","40mA","-","Unshielded","60 Ohm Max","30 @ 252kHz","1MHz","-40°C ~ 105°C","252kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3545-1-ND","NLC565050T-151K-PF","TDK Corporation","INDUCTOR POWER 150UH 210MA 2220",5969,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","150µH","±10%","210mA","-","Unshielded","2.2 Ohm Max","20 @ 796kHz","4.8MHz","-40°C ~ 105°C","796kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/NL%20Series.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3665-1-ND","NL565050T-822J-PF","TDK Corporation","INDUCTOR 8.2MH 28MA 5% 2220",4823,0,"0.72000",0,1,"Cut Tape (CT)","NL","Wirewound","-","8.2mH","±5%","28mA","-","Unshielded","125 Ohm Max","30 @ 252kHz","600kHz","-40°C ~ 105°C","252kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3549-1-ND","NLC565050T-331K-PF","TDK Corporation","INDUCTOR POWER 330UH 140MA 2220",3936,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","330µH","±10%","140mA","-","Unshielded","4.9 Ohm Max","20 @ 796kHz","3.2MHz","-40°C ~ 105°C","796kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/NL%20Series.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3658-1-ND","NL565050T-222J-PF","TDK Corporation","INDUCTOR 2.2MH 55MA 5% 2220",4009,0,"0.72000",0,1,"Cut Tape (CT)","NL","Wirewound","-","2.2mH","±5%","55mA","-","Unshielded","35 Ohm Max","30 @ 252kHz","1.2MHz","-40°C ~ 105°C","252kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3527-1-ND","NLC565050T-4R7K-PF","TDK Corporation","INDUCTOR POWER 4.7UH 950MA 2220",3023,0,"0.72000",0,1,"Cut Tape (CT)","NLC","Wirewound","-","4.7µH","±10%","950mA","-","Unshielded","110 mOhm Max","10 @ 7.96MHz","29MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/NL%20Series.pdf","http://media.digikey.com/Renders/TDK%20Renders/NL565050T.jpg","445-3664-1-ND","NL565050T-682J-PF","TDK Corporation","INDUCTOR 6.8MH 30MA 5% 2220",3146,0,"0.72000",0,1,"Cut Tape (CT)","NL","Wirewound","-","6.8mH","±5%","30mA","-","Unshielded","110 Ohm Max","30 @ 252kHz","700kHz","-40°C ~ 105°C","252kHz","Surface Mount","2220 (5650 Metric)","0.220"" L x 0.197"" W (5.60mm x 5.00mm)","0.197"" (5.00mm)","-"
