"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1517-1-ND","NLV32T-1R0J-PF","TDK Corporation","INDUCTOR POWER 1.0UH 1210",64075,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","1µH","±5%","400mA","-","Unshielded","700 mOhm Max","30 @ 7.96MHz","120MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1519-1-ND","NLV32T-2R2J-PF","TDK Corporation","INDUCTOR POWER 2.2UH 1210",63907,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","2.2µH","±5%","320mA","-","Unshielded","1 Ohm Max","30 @ 7.96MHz","75MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLCV32T%20SERIES.jpg","445-1534-1-ND","NLCV32T-1R0M-PF","TDK Corporation","INDUCTOR POWER 1.0UH 1210",52009,0,"0.22000",0,1,"Cut Tape (CT)","NLCV","Wirewound","-","1µH","±20%","1A","-","Unshielded","60 mOhm","10 @ 7.96MHz","100MHz","-40°C ~ 105°C","7.96MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1529-1-ND","NLV32T-101J-PF","TDK Corporation","INDUCTOR POWER 100UH 1210",25672,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","100µH","±5%","40mA","-","Unshielded","10 Ohm Max","20 @ 796kHz","10MHz","-40°C ~ 105°C","796kHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1531-1-ND","NLV32T-221J-PF","TDK Corporation","INDUCTOR POWER 220UH 1210",24390,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","220µH","±5%","50mA","-","Unshielded","21 Ohm Max","20 @ 796kHz","7MHz","-40°C ~ 105°C","796kHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1523-1-ND","NLV32T-100J-PF","TDK Corporation","INDUCTOR POWER 10UH 1210",7583,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","10µH","±5%","150mA","-","Unshielded","2.1 Ohm Max","30 @ 2.52MHz","30MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLCV32T%20SERIES.jpg","445-3654-1-ND","NLCV32T-100K-PFR","TDK Corporation","INDUCTOR 10UH 600MA 10% 1210",6497,0,"0.22000",0,1,"Cut Tape (CT)","NLCV","Wirewound","-","10µH","±10%","600mA","-","Unshielded","420 mOhm","20 @ 2.52MHz","30MHz","-40°C ~ 125°C","2.52MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/FLF3215T_Rev2009.pdf","http://media.digikey.com/photos/TDK%20Photos/FLF3215T-1R0N.JPG","445-4846-1-ND","FLF3215T-4R7M","TDK Corporation","INDUCTOR 4.7UH 1.0A 20% SMD",18160,0,"0.36000",0,1,"Cut Tape (CT)","FLF","Wirewound","-","4.7µH","±20%","1.36A","1A","Shielded","90 mOhm","-","40MHz","-40°C ~ 125°C","1MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.065"" (1.65mm)","-"
"http://www.tdk.co.jp/tefe02/e511_nlcv_nlc.pdf","http://media.digikey.com/photos/TDK%20Photos/NLCV32T%20SERIES.jpg","445-1538-1-ND","NLCV32T-100K-PF","TDK Corporation","INDUCTOR POWER 10UH 1210",136050,0,"0.22000",0,1,"Cut Tape (CT)","NLCV","Wirewound","-","10µH","±10%","450mA","-","Unshielded","360 mOhm","15 @ 2.52MHz","30MHz","-40°C ~ 105°C","2.52MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
"http://product.tdk.com/inductor/ind/en/documents/inductor_commercial_standard_nlv_en.pdf","http://media.digikey.com/photos/TDK%20Photos/NLV32T%20SERIES.jpg","445-1514-1-ND","NLV32T-R33J-PF","TDK Corporation","INDUCTOR POWER 0.33UH 1210",36238,0,"0.22000",0,1,"Cut Tape (CT)","NLV","Wirewound","-","330nH","±5%","450mA","-","Unshielded","400 mOhm Max","30 @ 25.2MHz","300MHz","-40°C ~ 105°C","25.2MHz","Surface Mount","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.095"" (2.40mm)","1210"
