"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK30L0CT-ND","CSR0805FK30L0","Stackpole Electronics Inc","RES 0.03 OHM 1/4W 1% 0805",4663,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.03","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK50L0CT-ND","CSR0805FK50L0","Stackpole Electronics Inc","RES 0.05 OHM 1/4W 1% 0805",2375,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.05","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT5R62CT-ND","RMCF0805FT5R62","Stackpole Electronics Inc","RES 5.62 OHM 1/8W 1% 0805",14727,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","5.62","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT6R65CT-ND","RMCF0805FT6R65","Stackpole Electronics Inc","RES 6.65 OHM 1/8W 1% 0805",14022,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","6.65","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT9R09CT-ND","RMCF0805FT9R09","Stackpole Electronics Inc","RES 9.09 OHM 1/8W 1% 0805",11648,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","9.09","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT4R70CT-ND","RMCF0805FT4R70","Stackpole Electronics Inc","RES 4.7 OHM 1/8W 1% 0805",15439,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","4.7","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK1R00CT-ND","CSR0805FK1R00","Stackpole Electronics Inc","RES 1 OHM 1/4W 1% 0805",2600,0,"0.44000",0,1,"Cut Tape (CT)","CSR","1","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1R30CT-ND","RMCF0805FT1R30","Stackpole Electronics Inc","RES 1.3 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","1.3","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1R65CT-ND","RMCF0805FT1R65","Stackpole Electronics Inc","RES 1.65 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","1.65","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1R82CT-ND","RMCF0805FT1R82","Stackpole Electronics Inc","RES 1.82 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","1.82","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT3R09CT-ND","RMCF0805FT3R09","Stackpole Electronics Inc","RES 3.09 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","3.09","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT3R92CT-ND","RMCF0805FT3R92","Stackpole Electronics Inc","RES 3.92 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","3.92","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT4R30CT-ND","RMCF0805FT4R30","Stackpole Electronics Inc","RES 4.3 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","4.3","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT4R53CT-ND","RMCF0805FT4R53","Stackpole Electronics Inc","RES 4.53 OHM 1/8W 1% 0805",10000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","4.53","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
