"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT10K0CT-ND","RMCF0805FT10K0","Stackpole Electronics Inc","RES 10K OHM 1/8W 1% 0805",1045139,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","10k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT100KCT-ND","RMCF0805FT100K","Stackpole Electronics Inc","RES 100K OHM 1/8W 1% 0805",160838,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","100k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1K00CT-ND","RMCF0805FT1K00","Stackpole Electronics Inc","RES 1K OHM 1/8W 1% 0805",168769,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","1k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT100RCT-ND","RMCF0805FT100R","Stackpole Electronics Inc","RES 100 OHM 1/8W 1% 0805",143753,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","100","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT13K7CT-ND","RMCF0805FT13K7","Stackpole Electronics Inc","RES 13.7K OHM 1/8W 1% 0805",112600,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","13.7k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT2K00CT-ND","RMCF0805FT2K00","Stackpole Electronics Inc","RES 2K OHM 1/8W 1% 0805",98645,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","2k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT2K20CT-ND","RMCF0805FT2K20","Stackpole Electronics Inc","RES 2.2K OHM 1/8W 1% 0805",89334,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","2.2k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT4K70CT-ND","RMCF0805FT4K70","Stackpole Electronics Inc","RES 4.7K OHM 1/8W 1% 0805",67453,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","4.7k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT274KCT-ND","RMCF0805FT274K","Stackpole Electronics Inc","RES 274K OHM 1/8W 1% 0805",79002,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","274k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1M00CT-ND","RMCF0805FT1M00","Stackpole Electronics Inc","RES 1M OHM 1/8W 1% 0805",62369,0,"0.04000",1,1,"Cut Tape (CT)","RMCF","1M","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
