"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FKR100CT-ND","CSR0603FKR100","Stackpole Electronics Inc","RES 0.1 OHM 1/8W 1% 0603",8282,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.1","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FKR300CT-ND","CSR0603FKR300","Stackpole Electronics Inc","RES 0.3 OHM 1/8W 1% 0603",3048,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.3","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FKR250CT-ND","CSR0603FKR250","Stackpole Electronics Inc","RES 0.25 OHM 1/8W 1% 0603",2328,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.25","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK75L0CT-ND","CSR0603FK75L0","Stackpole Electronics Inc","RES 0.075 OHM 1/8W 1% 0603",6290,0,"0.84000",0,1,"Cut Tape (CT)","CSR","0.075","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK20L0CT-ND","CSR0603FK20L0","Stackpole Electronics Inc","RES 0.02 OHM 1/8W 1% 0603",8502,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.02","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK25L0CT-ND","CSR0603FK25L0","Stackpole Electronics Inc","RES 0.025 OHM 1/8W 1% 0603",4923,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.025","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK30L0CT-ND","CSR0603FK30L0","Stackpole Electronics Inc","RES 0.03 OHM 1/8W 1% 0603",3737,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.03","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK1R00CT-ND","CSR0603FK1R00","Stackpole Electronics Inc","RES 1 OHM 1/8W 1% 0603",1768,0,"0.44000",0,1,"Cut Tape (CT)","CSR","1","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FKR500CT-ND","CSR0603FKR500","Stackpole Electronics Inc","RES 0.5 OHM 1/8W 1% 0603",19643,0,"0.44000",0,1,"Cut Tape (CT)","CSR","0.5","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FK50L0CT-ND","CSR0603FK50L0","Stackpole Electronics Inc","RES 0.05 OHM 1/8W 1% 0603",3148,0,"0.84000",0,1,"Cut Tape (CT)","CSR","0.05","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","CSR0603FKR200CT-ND","CSR0603FKR200","Stackpole Electronics Inc","RES 0.2 OHM 1/8W 1% 0603",0,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.2","±1%","0.125W, 1/8W","Thick Film","Current Sense","±300ppm/°C","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)","2"
