"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","Stackpole Electronics Inc","RES 10K OHM 1/16W 1% 0402",1990013,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","10k","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT165RCT-ND","RMCF0402FT165R","Stackpole Electronics Inc","RES 165 OHM 1/16W 1% 0402",610847,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","165","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT1K00CT-ND","RMCF0402FT1K00","Stackpole Electronics Inc","RES 1K OHM 1/16W 1% 0402",295387,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","1k","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT69R8CT-ND","RMCF0402FT69R8","Stackpole Electronics Inc","RES 69.8 OHM 1/16W 1% 0402",168950,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","69.8","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT49R9CT-ND","RMCF0402FT49R9","Stackpole Electronics Inc","RES 49.9 OHM 1/16W 1% 0402",141259,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","49.9","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT2K00CT-ND","RMCF0402FT2K00","Stackpole Electronics Inc","RES 2K OHM 1/16W 1% 0402",152280,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","2k","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT100RCT-ND","RMCF0402FT100R","Stackpole Electronics Inc","RES 100 OHM 1/16W 1% 0402",211331,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","100","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT10R0CT-ND","RMCF0402FT10R0","Stackpole Electronics Inc","RES 10 OHM 1/16W 1% 0402",89180,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","10","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT4K99CT-ND","RMCF0402FT4K99","Stackpole Electronics Inc","RES 4.99K OHM 1/16W 1% 0402",118916,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","4.99k","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402FT3K48CT-ND","RMCF0402FT3K48","Stackpole Electronics Inc","RES 3.48K OHM 1/16W 1% 0402",79570,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","3.48k","±1%","0.063W, 1/16W","Thick Film","-","±100ppm/°C","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
