"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0402ZT0R00CT-ND","RMCF0402ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/16W JUMP 0402",569862,0,"0.02000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.063W, 1/16W","Thick Film","-","-","0402 (1005 Metric)","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0603ZT0R00CT-ND","RMCF0603ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/10W JUMP 0603",644167,0,"0.02000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.1W, 1/10W","Thick Film","-","-","0603 (1608 Metric)","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805ZT0R00CT-ND","RMCF0805ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/8W JUMP 0805",516027,0,"0.03000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.125W, 1/8W","Thick Film","-","-","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1206ZT0R00CT-ND","RMCF1206ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/4W JUMP 1206",464074,0,"0.05000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.25W, 1/4W","Thick Film","-","-","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1206ZG0R00CT-ND","RMCF1206ZG0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/4W JUMP 1206",20000,0,"0.13000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.25W, 1/4W","Thick Film","-","-","1206 (3216 Metric)","1206","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010ZT0R00CT-ND","RMCF2010ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 3/4W JUMP 2010",84919,0,"0.33000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.75W, 3/4W","Thick Film","-","-","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0201-RMCF-Series.jpg","RMCF0201ZT0R00CT-ND","RMCF0201ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/20W JUMP 0201",11840,0,"0.12000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.05W, 1/20W","Thick Film","-","-","0201 (0603 Metric)","0201","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.009"" (0.24mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512ZT0R00CT-ND","RMCF2512ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1W JUMP 2512",17214,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","1W","Thick Film","-","-","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210ZT0R00CT-ND","RMCF1210ZT0R00","Stackpole Electronics Inc","RES 0.0 OHM 1/2W JUMP 1210",6434,0,"0.21000",0,1,"Cut Tape (CT)","RMCF","0.0","Jumper","0.5W, 1/2W","Thick Film","-","-","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
