"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT100RCT-ND","RMCF2010FT100R","Stackpole Electronics Inc","RES 100 OHM 3/4W 1% 2010",41125,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","100","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT124RCT-ND","RMCF2010FT124R","Stackpole Electronics Inc","RES 124 OHM 3/4W 1% 2010",21732,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","124","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT12K1CT-ND","RMCF2010FT12K1","Stackpole Electronics Inc","RES 12.1K OHM 3/4W 1% 2010",10295,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","12.1k","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT20K0CT-ND","RMCF2010FT20K0","Stackpole Electronics Inc","RES 20K OHM 3/4W 1% 2010",14482,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","20k","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT220RCT-ND","RMCF2010FT220R","Stackpole Electronics Inc","RES 220 OHM 3/4W 1% 2010",10208,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","220","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT2K43CT-ND","RMCF2010FT2K43","Stackpole Electronics Inc","RES 2.43K OHM 3/4W 1% 2010",9399,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","2.43k","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT47R5CT-ND","RMCF2010FT47R5","Stackpole Electronics Inc","RES 47.5 OHM 3/4W 1% 2010",9978,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","47.5","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT133RCT-ND","RMCF2010FT133R","Stackpole Electronics Inc","RES 133 OHM 3/4W 1% 2010",8000,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","133","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT162KCT-ND","RMCF2010FT162K","Stackpole Electronics Inc","RES 162K OHM 3/4W 1% 2010",8000,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","162k","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/1210-Pkg.jpg","RMCF2010FT174RCT-ND","RMCF2010FT174R","Stackpole Electronics Inc","RES 174 OHM 3/4W 1% 2010",8000,0,"0.44000",0,1,"Cut Tape (CT)","RMCF","174","±1%","0.75W, 3/4W","Thick Film","-","±100ppm/°C","2010 (5025 Metric)","2010","0.197"" L x 0.098"" W (5.00mm x 2.50mm)","0.028"" (0.70mm)","2"
