"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT806RCT-ND","RMCF0805FT806R","Stackpole Electronics Inc","RES 806 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","806","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT866KCT-ND","RMCF0805FT866K","Stackpole Electronics Inc","RES 866K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","866k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT866RCT-ND","RMCF0805FT866R","Stackpole Electronics Inc","RES 866 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","866","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT887RCT-ND","RMCF0805FT887R","Stackpole Electronics Inc","RES 887 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","887","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT88K7CT-ND","RMCF0805FT88K7","Stackpole Electronics Inc","RES 88.7K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","88.7k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT88R7CT-ND","RMCF0805FT88R7","Stackpole Electronics Inc","RES 88.7 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","88.7","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT8K45CT-ND","RMCF0805FT8K45","Stackpole Electronics Inc","RES 8.45K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","8.45k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT910RCT-ND","RMCF0805FT910R","Stackpole Electronics Inc","RES 910 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","910","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT91R0CT-ND","RMCF0805FT91R0","Stackpole Electronics Inc","RES 91 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","91","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT93K1CT-ND","RMCF0805FT93K1","Stackpole Electronics Inc","RES 93.1K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","93.1k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT976KCT-ND","RMCF0805FT976K","Stackpole Electronics Inc","RES 976K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","976k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT11K3CT-ND","RMCF0805FT11K3","Stackpole Electronics Inc","RES 11.3K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","11.3k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT36K5CT-ND","RMCF0805FT36K5","Stackpole Electronics Inc","RES 36.5K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","36.5k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT51K0CT-ND","RMCF0805FT51K0","Stackpole Electronics Inc","RES 51K OHM 1/8W 1% 0805",5000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","51k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT59R0CT-ND","RMCF0805FT59R0","Stackpole Electronics Inc","RES 59 OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","59","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT140KCT-ND","RMCF0805FT140K","Stackpole Electronics Inc","RES 140K OHM 1/8W 1% 0805",0,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","140k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT13K3CT-ND","RMCF0805FT13K3","Stackpole Electronics Inc","RES 13.3K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","13.3k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT21K0CT-ND","RMCF0805FT21K0","Stackpole Electronics Inc","RES 21K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","21k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT5K49CT-ND","RMCF0805FT5K49","Stackpole Electronics Inc","RES 5.49K OHM 1/8W 1% 0805",10000,0,"0.10000",1,1,"Cut Tape (CT)","RMCF","5.49k","±1%","0.125W, 1/8W","Thick Film","-","±100ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
