"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-13302-1-ND","CGJ2B3X7R1E104K050BB","TDK Corporation","CAP CER 0.1UF 25V 10% X7R 0402",9801,0,"0.20000",1,1,"Cut Tape (CT)","CGJ","0.1µF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.020"" (0.50mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805%20(2012)%20TDK.jpg","445-13358-1-ND","CGJ4C2C0G1H391J060AA","TDK Corporation","CAP CER 390PF 50V 5% NP0 0805",3817,0,"0.29000",1,1,"Cut Tape (CT)","CGJ","390pF","50V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_midvoltage_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0603%20(1608%20Metric).jpg","445-9146-1-ND","CGJ3E3C0G2D181J080AA","TDK Corporation","CAP CER 180PF 200V 5% NP0 0603",3185,0,"0.29000",1,1,"Cut Tape (CT)","CGJ","180pF","200V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.031"" (0.80mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_midvoltage_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0603%20(1608%20Metric).jpg","445-9144-1-ND","CGJ3E3C0G2D121J080AA","TDK Corporation","CAP CER 120PF 200V 5% NP0 0603",2775,0,"0.29000",1,1,"Cut Tape (CT)","CGJ","120pF","200V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.031"" (0.80mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0603%20(1608%20Metric).jpg","445-13325-1-ND","CGJ3E2C0G1H180J080AA","TDK Corporation","CAP CER 18PF 50V 5% NP0 0603",3960,0,"0.31000",1,1,"Cut Tape (CT)","CGJ","18pF","50V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.031"" (0.80mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0603%20(1608%20Metric).jpg","445-13348-1-ND","CGJ3E3X7R1E474K080AB","TDK Corporation","CAP CER 0.47UF 25V 10% X7R 0603",3570,0,"0.35000",1,1,"Cut Tape (CT)","CGJ","0.47µF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.031"" (0.80mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805%20(2012)%20TDK.jpg","445-8175-1-ND","CGJ4J2X7R1E224K125AA","TDK Corporation","CAP CER 0.22UF 25V 10% X7R 0805",2216,0,"0.37000",1,1,"Cut Tape (CT)","CGJ","0.22µF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805%20(2012)%20TDK.jpg","445-8158-1-ND","CGJ4C2C0G1H822J060AA","TDK Corporation","CAP CER 8200PF 50V 5% NP0 0805",2884,0,"0.52000",1,1,"Cut Tape (CT)","CGJ","8200pF","50V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.028"" (0.70mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805%20(2012)%20TDK.jpg","445-8203-1-ND","CGJ4J2X7R0J105K125AA","TDK Corporation","CAP CER 1UF 6.3V 10% X7R 0805",1771,0,"0.52000",1,1,"Cut Tape (CT)","CGJ","1.0µF","6.3V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.053"" (1.35mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805%20(2012)%20TDK.jpg","445-13372-1-ND","CGJ4J3X7R1H474K125AB","TDK Corporation","CAP CER 0.47UF 50V 10% X7R 0805",1980,0,"0.63000",1,1,"Cut Tape (CT)","CGJ","0.47µF","50V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
