"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B102KP2NNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1215-1-ND","CL02B102KP2NNNC","Samsung Electro-Mechanics America, Inc","CAP CER 1000PF 10V 10% X7R 01005",100000,0,"0.10000",1,1,"Cut Tape (CT)","CL","1000pF","10V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C7R5CO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1231-1-ND","CL02C7R5CO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 7.5PF 16V NP0 01005",35000,0,"0.10000",1,1,"Cut Tape (CT)","CL","7.5pF","16V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C8R2CO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1233-1-ND","CL02C8R2CO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 8.2PF 16V NP0 01005",39000,0,"0.10000",1,1,"Cut Tape (CT)","CL","8.2pF","16V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C100JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1220-1-ND","CL02C100JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 10PF 16V 5% NP0 01005",46213,0,"0.10000",1,1,"Cut Tape (CT)","CL","10pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C4R3BO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1229-1-ND","CL02C4R3BO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 4.3PF 16V NP0 01005",39820,0,"0.10000",1,1,"Cut Tape (CT)","CL","4.3pF","16V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C390JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1227-1-ND","CL02C390JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 39PF 16V 5% NP0 01005",40000,0,"0.24000",1,1,"Cut Tape (CT)","CL","39pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C101JQ2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1221-1-ND","CL02C101JQ2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 100PF 6.3V 5% NP0 01005",32855,0,"0.24000",1,1,"Cut Tape (CT)","CL","100pF","6.3V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C180JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1223-1-ND","CL02C180JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 18PF 16V 5% NP0 01005",39990,0,"0.24000",1,1,"Cut Tape (CT)","CL","18pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C270JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1225-1-ND","CL02C270JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 27PF 16V 5% NP0 01005",39740,0,"0.24000",1,1,"Cut Tape (CT)","CL","27pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C330JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1226-1-ND","CL02C330JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 33PF 16V 5% NP0 01005",39650,0,"0.24000",1,1,"Cut Tape (CT)","CL","33pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C470JO2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1228-1-ND","CL02C470JO2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 47PF 16V 5% NP0 01005",39711,0,"0.24000",1,1,"Cut Tape (CT)","CL","47pF","16V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C560JQ2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1230-1-ND","CL02C560JQ2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 56PF 6.3V 5% NP0 01005",39740,0,"0.24000",1,1,"Cut Tape (CT)","CL","56pF","6.3V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C820JQ2ANNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1232-1-ND","CL02C820JQ2ANNC","Samsung Electro-Mechanics America, Inc","CAP CER 82PF 6.3V 5% NP0 01005",39990,0,"0.24000",1,1,"Cut Tape (CT)","CL","82pF","6.3V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B221KP2NNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%2001005(0402%20Metric).jpg","1276-1218-1-ND","CL02B221KP2NNNC","Samsung Electro-Mechanics America, Inc","CAP CER 220PF 10V 10% X7R 01005",38250,0,"0.27000",1,1,"Cut Tape (CT)","CL","220pF","10V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
