"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR47CBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2700-1-ND","CL21CR47CBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.47PF 50V NP0 0805",7799,0,"0.10000",1,1,"Cut Tape (CT)","CL","0.47pF","50V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR47BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2699-1-ND","CL21CR47BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.47PF 50V NP0 0805",9412,0,"0.10000",1,1,"Cut Tape (CT)","CL","0.47pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21C0R5BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-1200-1-ND","CL21C0R5BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.5PF 50V NP0 0805",43890,0,"0.94000",1,1,"Cut Tape (CT)","CL","0.50pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21C0R5CBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2560-1-ND","CL21C0R5CBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.5PF 50V NP0 0805",3980,0,"0.10000",1,1,"Cut Tape (CT)","CL","0.50pF","50V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR68BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2701-1-ND","CL21CR68BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.68PF 50V NP0 0805",6877,0,"0.94000",1,1,"Cut Tape (CT)","CL","0.68pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR75BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2702-1-ND","CL21CR75BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.75PF 50V NP0 0805",15905,0,"0.10000",1,1,"Cut Tape (CT)","CL","0.75pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR82BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2703-1-ND","CL21CR82BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.82PF 50V NP0 0805",6795,0,"0.10000",1,1,"Cut Tape (CT)","CL","0.82pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21CR82CBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2704-1-ND","CL21CR82CBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 0.82PF 50V NP0 0805",7950,0,"0.27000",1,1,"Cut Tape (CT)","CL","0.82pF","50V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21C010BBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-1766-1-ND","CL21C010BBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 1PF 50V NP0 0805",18495,0,"0.94000",1,1,"Cut Tape (CT)","CL","1.0pF","50V","±0.1pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL21C010CBANNNC.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%200805(2012%20Metric)%207.jpg","1276-2548-1-ND","CL21C010CBANNNC","Samsung Electro-Mechanics America, Inc","CAP CER 1PF 50V NP0 0805",11553,0,"0.11000",1,1,"Cut Tape (CT)","CL","1.0pF","50V","±0.25pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.01mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
