"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B334KCHNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%2018.jpg","1276-3335-1-ND","CL32B334KCHNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 0.33UF 100V 10% X7R 1210",4028,0,"0.27000",1,1,"Cut Tape (CT)","CL","0.33µF","100V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.071"" (1.80mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B105KAFNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%20145.jpg","1276-1850-1-ND","CL32B105KAFNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 1UF 25V 10% X7R 1210",9495,0,"0.30000",1,1,"Cut Tape (CT)","CL","1.0µF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B105KBHNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%2018.jpg","1276-1811-1-ND","CL32B105KBHNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 1UF 50V 10% X7R 1210",6462,0,"0.31000",1,1,"Cut Tape (CT)","CL","1.0µF","50V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.071"" (1.80mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B104MBFNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%20145.jpg","1276-3320-1-ND","CL32B104MBFNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 0.1UF 50V 20% X7R 1210",2963,0,"0.32000",1,1,"Cut Tape (CT)","CL","0.1µF","50V","±20%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B223KGFNNWE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%20145.jpg","1276-3331-1-ND","CL32B223KGFNNWE","Samsung Electro-Mechanics America, Inc","CAP CER 0.022UF 500V X7R 1210",3940,0,"0.33000",1,1,"Cut Tape (CT)","CL","0.022µF","500V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B224KBFNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%20145.jpg","1276-1777-1-ND","CL32B224KBFNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 0.22UF 50V 10% X7R 1210",19500,0,"0.32000",1,1,"Cut Tape (CT)","CL","0.22µF","50V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B475KOINNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%2022.jpg","1276-1856-1-ND","CL32B475KOINNNE","Samsung Electro-Mechanics America, Inc","CAP CER 4.7UF 16V 10% X7R 1210",7041,0,"0.37000",1,1,"Cut Tape (CT)","CL","4.7µF","16V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.087"" (2.20mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B102KJFNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%20145.jpg","1276-3316-1-ND","CL32B102KJFNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 1000PF 2KV 10% X7R 1210",3037,0,"0.37000",1,1,"Cut Tape (CT)","CL","1000pF","2000V (2kV)","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.057"" (1.45mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32B225KAINNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%2022.jpg","1276-1313-1-ND","CL32B225KAINNNE","Samsung Electro-Mechanics America, Inc","CAP CER 2.2UF 25V 10% X7R 1210",18275,0,"0.38000",1,1,"Cut Tape (CT)","CL","2.2µF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.087"" (2.20mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL32C822JHJNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%201210(3225%20Metric)%2027.jpg","1276-3398-1-ND","CL32C822JHJNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 8200PF 630V 5% NP0 1210",2000,0,"0.41000",1,1,"Cut Tape (CT)","CL","8200pF","630V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","1210 (3225 Metric)","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","-","0.106"" (2.70mm)","-","-"
