"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL55B105KBINNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%202220(5750%20Metric).jpg","1276-3425-1-ND","CL55B105KBINNNE","Samsung Electro-Mechanics America, Inc","CAP CER 1UF 50V 10% X7R 2220",0,0,"Call",1,1,"Cut Tape (CT)","CL","1.0µF","50V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.087"" (2.20mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL55B105KCHNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%202220(5750%20Metric).jpg","1276-3426-1-ND","CL55B105KCHNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 1UF 100V 10% X7R 2220",0,0,"Call",1,1,"Cut Tape (CT)","CL","1.0µF","100V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.071"" (1.80mm)","-","-"
"http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL55B475KCJNNNE.pdf","http://media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/CL%20Series%202220(5750%20Metric).jpg","1276-3427-1-ND","CL55B475KCJNNNE","Samsung Electro-Mechanics America, Inc","CAP CER 4.7UF 100V 10% X7R 2220",0,0,"Call",1,1,"Cut Tape (CT)","CL","4.7µF","100V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","General Purpose","-","2220 (5750 Metric)","0.224"" L x 0.197"" W (5.70mm x 5.00mm)","-","0.106"" (2.70mm)","-","-"
